# CENSUS TRACT,PRIMARY,OTHER,ALL
# TOTAL,344804,501430,846234
010010202,3,3,6
010010203,3,0,3
010010204,5,0,5
010010205,7,1,8
010010206,2,0,2
010010208,1,2,3
010010211,2,0,2
010030101,0,1,1
010030103,0,1,1
010030105,13,4,17
010030107,19,32,51
010030108,14,33,47
010030109,4,1,5
010030110,0,1,1
010030111,9,6,15
010030112,26,58,84
010030113,5,3,8
010030114,29,28,57
010030115,12,12,24
010030116,5,5,10
010059501,3,3,6
010059504,1,1,2
010059505,1,2,3
010059507,6,5,11
010059508,1,1,2
010059509,0,1,1
010079513,1,0,1
010079514,8,5,13
010079515,1,0,1
010090111,1,0,1
010090501,13,2,15
010090502,1,0,1
010090503,2,0,2
010090505,1,1,2
010090506,1,2,3
010119522,10,1,11
010139527,1,0,1
010139528,2,0,2
010139529,6,5,11
010139534,3,0,3
010150001,0,1,1
010150002,29,39,68
010150003,1,0,1
010150005,3,1,4
010150008,10,24,34
010150009,15,14,29
010150010,11,17,28
010150011,6,2,8
010150012,0,2,2
010150015,0,1,1
010150017,5,0,5
010150018,1,0,1
010150019,1,2,3
010150020,1,6,7
010150021,13,8,21
010150022,3,0,3
010150023,1,0,1
010150025,4,1,5
010150026,1,0,1
010150101,0,1,1
010150105,0,1,1
010179538,1,0,1
010179540,2,0,2
010179543,2,2,4
010179545,0,2,2
010179546,12,10,22
010179547,1,2,3
010199557,0,1,1
010199558,0,1,1
010199559,1,1,2
010199560,8,1,9
010210601,9,1,10
010210602,7,0,7
010210604,1,1,2
010210606,1,0,1
010239568,6,1,7
010239569,2,0,2
010239570,1,0,1
010239915,0,1,1
010259576,8,3,11
010259578,3,0,3
010259579,6,3,9
010279589,3,0,3
010279590,2,1,3
010299596,1,0,1
010299597,1,1,2
010310103,1,1,2
010310104,1,1,2
010310105,4,0,4
010310108,1,0,1
010310109,9,10,19
010310111,2,0,2
010310112,13,12,25
010310113,8,2,10
010310502,1,0,1
010330201,1,1,2
010330202,4,5,9
010330203,11,16,27
010330204,4,1,5
010330205,3,2,5
010330206,4,2,6
010330207,15,24,39
010330208,2,7,9
010330209,2,0,2
010330210,1,0,1
010359605,3,3,6
010359606,2,1,3
010379612,1,0,1
010399617,1,1,2
010399618,12,7,19
010399619,1,1,2
010399620,2,0,2
010399621,2,1,3
010399624,6,0,6
010399625,5,1,6
010399626,1,0,1
010399630,2,0,2
010419636,1,3,4
010419637,2,0,2
010419639,1,0,1
010439642,8,7,15
010439643,1,0,1
010439644,0,2,2
010439648,4,5,9
010439649,26,25,51
010439650,13,13,26
010439651,2,0,2
010439652,0,2,2
010439653,0,1,1
010439654,2,1,3
010439655,0,1,1
010439656,0,1,1
010450201,1,0,1
010450204,3,0,3
010450205,0,1,1
010450206,10,7,17
010450207,4,4,8
010450208,0,2,2
010450209,5,9,14
010450211,0,1,1
010450213,3,2,5
010459504,3,0,3
010479961,3,1,4
010479962,1,3,4
010479964,2,2,4
010479966,36,16,52
010479967,15,11,26
010479968,11,18,29
010479969,2,0,2
010490301,0,1,1
010490308,1,2,3
010499601,1,0,1
010499602,0,1,1
010499603,4,2,6
010499604,9,3,12
010499605,2,0,2
010499607,2,0,2
010499609,1,1,2
010499610,0,1,1
010499611,9,4,13
010499612,4,1,5
010499613,0,1,1
010499614,1,1,2
010510301,1,0,1
010510302,3,2,5
010510303,2,1,3
010510304,6,3,9
010510305,2,0,2
010510306,3,1,4
010510307,10,3,13
010510309,0,1,1
010510310,1,2,3
010510311,3,0,3
010510312,1,0,1
010539701,14,3,17
010539702,1,2,3
010539703,3,0,3
010539704,0,1,1
010539706,2,1,3
010539707,9,2,11
010550001,12,23,35
010550002,2,3,5
010550003,1,0,1
010550004,1,5,6
010550006,2,0,2
010550008,2,1,3
010550011,15,30,45
010550012,14,19,33
010550013,6,6,12
010550014,3,10,13
010550016,3,1,4
010550017,2,4,6
010550104,16,10,26
010550105,3,5,8
010550106,2,0,2
010550107,1,0,1
010550108,1,0,1
010550109,0,1,1
010550110,2,1,3
010579720,0,1,1
010579721,3,1,4
010579722,7,2,9
010599729,0,2,2
010599730,5,1,6
010599731,5,7,12
010599732,2,1,3
010599733,0,1,1
010599735,7,0,7
010599737,1,0,1
010610421,1,0,1
010610501,2,0,2
010610503,7,2,9
010610504,1,0,1
010639744,8,1,9
010659743,1,0,1
010659747,4,3,7
010659749,1,0,1
010670302,2,1,3
010670305,1,1,2
010690213,0,1,1
010690401,0,1,1
010690402,65,104,169
010690404,1,13,14
010690405,10,13,23
010690408,0,9,9
010690410,18,41,59
010690411,2,2,4
010690413,6,16,22
010690414,1,1,2
010690415,0,2,2
010690416,0,1,1
010690419,1,1,2
010719502,4,1,5
010719503,4,0,4
010719506,2,2,4
010719507,1,5,6
010719508,14,4,18
010719509,5,6,11
010719510,0,1,1
010719602,0,1,1
010730001,2,3,5
010730003,1,3,4
010730004,0,1,1
010730008,7,5,12
010730011,1,2,3
010730014,2,1,3
010730016,19,42,61
010730020,2,1,3
010730022,0,1,1
010730023,62,134,196
010730024,0,5,5
010730027,9,23,32
010730029,1,1,2
010730030,2,2,4
010730031,0,1,1
010730032,2,1,3
010730033,1,0,1
010730037,1,0,1
010730038,0,1,1
010730040,27,65,92
010730042,4,1,5
010730045,146,451,597
010730047,78,125,203
010730048,16,27,43
010730049,20,84,104
010730050,6,12,18
010730051,7,3,10
010730052,3,3,6
010730053,4,2,6
010730055,2,0,2
010730056,17,38,55
010730058,12,11,23
010730059,37,55,92
010730100,1,0,1
010730102,4,2,6
010730103,1,0,1
010730104,5,2,7
010730106,17,18,35
010730107,109,184,293
010730108,116,280,396
010730109,1,1,2
010730110,2,0,2
010730111,24,9,33
010730112,5,3,8
010730113,5,1,6
010730114,6,0,6
010730116,1,1,2
010730117,17,7,24
010730118,7,2,9
010730119,1,0,1
010730120,0,1,1
010730121,5,2,7
010730123,4,3,7
010730124,4,4,8
010730125,0,1,1
010730127,13,31,44
010730128,22,39,61
010730129,150,304,454
010730132,1,0,1
010730140,0,1,1
010730141,15,9,24
010730142,8,7,15
010730143,11,12,23
010730144,119,142,261
010730303,6,19,25
010730506,1,0,1
010759783,1,0,1
010759784,2,0,2
010770101,13,20,33
010770102,11,19,30
010770104,2,2,4
010770106,0,1,1
010770108,0,1,1
010770109,21,19,40
010770110,0,1,1
010770111,7,10,17
010770112,0,1,1
010770114,0,2,2
010770115,8,18,26
010770116,3,12,15
010770117,1,1,2
010799794,7,0,7
010799795,1,0,1
010799798,2,0,2
010810401,1,1,2
010810402,2,3,5
010810403,1,2,3
010810404,3,5,8
010810405,7,13,20
010810406,1,3,4
010810407,1,2,3
010810408,0,1,1
010810409,18,11,29
010810410,0,1,1
010810411,26,34,60
010810412,3,3,6
010810413,9,8,17
010810414,1,0,1
010810415,3,6,9
010810417,2,1,3
010810418,0,1,1
010810419,1,0,1
010810420,5,2,7
010810421,0,3,3
010830201,1,0,1
010830202,3,0,3
010830204,5,2,7
010830205,3,2,5
010830206,12,6,18
010830208,3,7,10
010830209,1,2,3
010830211,3,2,5
010859809,1,1,2
010859810,1,0,1
010859812,1,1,2
010879816,1,2,3
010879817,0,1,1
010879818,1,0,1
010879819,6,22,28
010879820,1,4,5
010879821,0,1,1
010890001,24,38,62
010890002,1,1,2
010890003,1,0,1
010890004,1,0,1
010890005,1,0,1
010890006,3,0,3
010890007,1,0,1
010890009,6,5,11
010890011,2,0,2
010890014,2,1,3
010890016,51,84,135
010890017,12,21,33
010890018,9,16,25
010890019,31,85,116
010890020,19,7,26
010890021,0,1,1
