CENSUS TRACT,PRIMARY,OTHER,ALL
010010201,1,2,3
010010202,6,1,7
010010203,2,1,3
010010204,2,0,2
010010205,9,4,13
010010206,1,0,1
010010207,1,0,1
010010208,3,1,4
010010211,2,0,2
010030101,1,1,2
010030102,1,0,1
010030103,6,6,12
010030104,1,0,1
010030105,7,5,12
010030106,2,0,2
010030107,45,58,103
010030108,25,46,71
010030109,6,7,13
010030110,3,1,4
010030111,9,10,19
010030112,41,77,118
010030113,4,3,7
010030114,35,31,66
010030115,21,22,43
010030116,5,6,11
010050202,0,1,1
010059501,6,1,7
010059502,1,0,1
010059505,1,0,1
010059506,1,0,1
010059507,5,1,6
010059508,2,1,3
010070100,3,0,3
010070101,4,0,4
010090501,10,4,14
010090502,1,0,1
010090505,2,1,3
010090506,1,1,2
010119522,9,0,9
010139528,1,3,4
010139529,7,2,9
010139531,1,1,2
010139532,0,1,1
010139534,5,0,5
010150001,0,1,1
010150002,26,37,63
010150003,1,0,1
010150004,3,1,4
010150008,17,17,34
010150009,15,15,30
010150010,11,15,26
010150011,13,8,21
010150012,2,0,2
010150013,1,0,1
010150015,0,2,2
010150017,3,0,3
010150018,2,0,2
010150019,0,11,11
010150020,1,4,5
010150021,14,6,20
010150022,1,0,1
010150023,2,0,2
010150025,1,1,2
010150026,1,0,1
010150106,0,1,1
010179539,0,1,1
010179540,3,2,5
010179542,1,1,2
010179543,0,2,2
010179545,1,0,1
010179546,10,6,16
010179547,3,4,7
010199557,1,1,2
010199558,1,0,1
010199560,7,2,9
010210601,8,0,8
010210603,1,2,3
010210604,2,2,4
010210605,1,0,1
010210607,0,1,1
010239568,3,1,4
010239569,2,0,2
010239570,1,0,1
010259575,2,0,2
010259576,3,2,5
010259578,3,0,3
010259579,8,2,10
010279589,4,1,5
010279591,2,2,4
010279592,0,1,1
010299598,1,0,1
010310103,1,1,2
010310105,4,1,5
010310108,0,1,1
010310109,10,8,18
010310110,2,6,8
010310111,2,1,3
010310112,12,11,23
010310113,7,0,7
010310212,0,1,1
010330201,1,1,2
010330202,4,6,10
010330203,16,16,32
010330204,3,2,5
010330205,2,2,4
010330206,5,0,5
010330207,16,21,37
010330208,2,6,8
010330209,4,2,6
010330210,0,1,1
010359603,0,1,1
010359605,2,0,2
010359606,4,0,4
010359699,1,0,1
010359701,0,1,1
010379612,1,0,1
010399617,2,0,2
010399618,3,3,6
010399619,15,7,22
010399620,2,0,2
010399621,0,1,1
010399624,10,3,13
010399630,2,1,3
010419637,2,4,6
010439642,3,6,9
010439643,2,2,4
010439644,1,1,2
010439646,1,0,1
010439647,1,2,3
010439648,6,6,12
010439649,29,25,54
010439650,10,7,17
010439651,2,0,2
010439652,0,2,2
010439653,0,1,1
010439654,2,0,2
010439655,2,0,2
010439656,2,3,5
010450201,2,0,2
010450204,7,2,9
010450205,6,2,8
010450207,2,3,5
010450208,1,4,5
010450209,0,4,4
010450211,2,0,2
010450212,0,2,2
010450213,3,1,4
010450401,1,0,1
010459504,1,0,1
010479961,1,1,2
010479962,3,4,7
010479964,0,1,1
010479966,12,6,18
010479967,4,8,12
010479968,25,17,42
010479969,0,1,1
010479970,1,0,1
010499602,2,1,3
010499603,1,1,2
010499604,9,6,15
010499605,1,1,2
010499607,1,0,1
010499608,1,0,1
010499609,1,2,3
010499610,1,0,1
010499611,5,5,10
010499612,6,5,11
010499613,1,1,2
010499614,1,3,4
010510302,1,2,3
010510303,1,3,4
010510304,4,6,10
010510306,6,2,8
010510307,12,3,15
010510309,0,3,3
010510310,5,2,7
010510311,2,1,3
010510312,1,0,1
010539701,15,4,19
010539702,3,2,5
010539703,2,0,2
010539704,1,0,1
010539705,2,0,2
010539707,7,1,8
010550002,4,6,10
010550003,0,2,2
010550004,3,1,4
010550005,1,0,1
010550006,2,1,3
010550008,3,3,6
010550011,25,27,52
010550012,22,49,71
010550013,4,4,8
010550014,3,14,17
010550016,2,0,2
010550017,2,4,6
010550104,16,8,24
010550105,4,9,13
010550106,2,1,3
010550107,1,0,1
010550108,1,1,2
010550109,0,1,1
010550110,3,0,3
010550111,1,0,1
010570202,3,2,5
010570203,6,1,7
010579847,0,1,1
010599730,3,5,8
010599731,11,6,17
010599732,2,0,2
010599733,0,1,1
010599734,1,0,1
010599735,3,0,3
010610501,1,1,2
010610502,1,1,2
010610503,4,2,6
010610504,1,0,1
010610506,0,1,1
010630601,5,0,5
010630602,0,2,2
010650404,1,3,4
010670302,3,0,3
010670305,1,3,4
010670306,1,0,1
010690401,1,5,6
010690402,82,140,222
010690403,1,7,8
010690404,5,16,21
010690405,8,7,15
010690406,5,20,25
010690408,1,5,6
010690409,3,0,3
010690410,20,46,66
010690411,1,7,8
010690414,1,2,3
010690415,1,1,2
010690416,1,2,3
010690419,1,2,3
010690420,0,1,1
010690421,1,0,1
010719502,3,0,3
010719503,2,0,2
010719505,1,0,1
010719506,2,2,4
010719507,1,2,3
010719508,23,7,30
010719509,4,7,11
010719510,1,1,2
010719511,0,1,1
010730001,1,1,2
010730003,1,3,4
010730004,0,2,2
010730008,6,4,10
010730011,1,0,1
010730014,1,0,1
010730016,3,15,18
010730019,0,1,1
010730021,1,0,1
010730022,0,3,3
010730023,65,137,202
010730024,6,10,16
010730027,12,12,24
010730029,0,1,1
010730030,2,3,5
010730032,1,1,2
010730033,0,1,1
010730034,1,0,1
010730038,2,6,8
010730040,29,64,93
010730042,1,0,1
010730045,237,715,952
010730047,81,141,222
010730048,8,29,37
010730049,29,75,104
010730050,5,10,15
010730051,2,1,3
010730052,4,6,10
010730053,2,5,7
010730056,12,28,40
010730058,4,8,12
010730059,27,58,85
010730100,3,2,5
010730102,2,2,4
010730103,2,1,3
010730104,7,12,19
010730106,2,4,6
010730107,111,241,352
010730108,132,342,474
010730110,1,2,3
010730111,35,23,58
010730112,6,4,10
010730113,2,2,4
010730114,5,0,5
010730115,2,0,2
010730116,1,0,1
010730117,20,20,40
010730118,9,4,13
010730119,2,0,2
010730120,7,16,23
010730121,5,0,5
010730122,1,1,2
010730123,1,2,3
010730124,2,2,4
010730126,1,2,3
010730127,26,57,83
010730128,26,52,78
010730129,169,386,555
010730132,1,0,1
010730139,6,0,6
010730140,1,2,3
010730141,12,1,13
010730142,20,18,38
010730143,15,42,57
010730144,102,240,342
010730217,1,0,1
010730302,2,2,4
010730303,16,12,28
010730401,0,4,4
010730405,1,1,2
010730506,1,0,1
010750301,2,0,2
010770101,2,14,16
010770102,13,25,38
010770103,0,1,1
010770104,0,4,4
010770106,2,2,4
010770109,16,30,46
010770111,3,10,13
010770112,4,3,7
010770114,0,4,4
010770115,20,24,44
010770116,5,14,19
010770117,1,0,1
010770118,1,0,1
010799791,0,1,1
010799792,1,0,1
010799794,6,2,8
010799798,2,0,2
010810304,1,0,1
010810402,3,4,7
010810403,2,1,3
010810404,5,7,12
010810405,13,26,39
010810406,2,2,4
010810407,2,3,5
010810409,15,12,27
010810410,5,8,13
010810411,27,27,54
010810412,3,2,5
010810413,13,18,31
010810414,2,1,3
010810416,3,7,10
010810417,2,2,4
010810419,1,1,2
010810420,3,5,8
010810421,5,4,9
010819540,1,0,1
010830105,1,0,1
010830201,1,1,2
010830202,2,1,3
010830205,0,1,1
010830206,10,5,15
010830208,5,4,9
010830209,8,3,11
010830211,6,11,17
010830212,5,8,13
010859532,0,1,1
010859808,1,1,2
010859811,1,0,1
010859812,1,0,1
010879815,0,1,1
010879816,1,1,2
010879817,0,1,1
010879818,1,0,1
010879819,3,6,9
010879820,3,3,6
010879821,0,1,1
010879822,2,0,2
010890001,13,55,68
010890003,2,0,2
010890004,0,1,1
010890006,3,0,3
010890007,1,1,2
010890009,2,6,8
010890010,0,2,2
010890011,0,2,2
010890012,1,0,1
010890013,1,0,1
010890014,4,4,8
010890015,1,2,3
010890016,58,93,151
010890017,6,14,20
