# CENSUS TRACT, POPULATION
010010201,1921
010010202,1892
010010203,3339
010010204,4556
010010205,6040
010010206,3378
010010207,2900
010010208,9357
010010209,4629
010010210,2677
010010211,2982
010030101,4161
010030102,2634
010030103,6511
010030104,4442
010030105,4566
010030106,3724
010030107,6510
010030107,5305
010030107,4832
010030107,6003
010030108,6254
010030109,9646
010030109,9208
010030110,4095
010030111,7524
010030112,4186
010030112,5405
010030113,3665
010030114,6911
010030114,4260
010030114,9947
010030115,10153
010030116,10473
010059501,3840
010059502,4342
010059503,2152
010059504,4068
010059505,3655
010059506,2312
010059507,1883
010059508,2237
010059509,4549
010070100,7745
010070101,7795
010070102,5286
010090501,6962
010090501,6666
010090502,3217
010090503,5063
010090504,4610
010090505,6803
010090506,10137
010090507,7566
010119521,1705
010119522,7170
010119523,1021
010119524,1818
010139527,2330
010139528,1489
010139529,1928
010139530,1693
010139531,3087
010139532,4442
010139533,1962
010139534,2946
010139535,1522
010150001,2279
010150002,3084
010150003,3545
010150004,2777
010150005,2372
010150006,2439
010150008,1475
010150009,3705
010150010,5538
010150011,6096
010150012,7545
010150013,2481
010150014,3545
010150015,5471
010150016,3822
010150017,6530
010150018,6653
010150019,19
010150020,5539
010150021,2637
010150021,2651
010150021,4569
010150022,3784
010150023,4043
010150024,4357
010150025,6635
010150025,4395
010150026,4263
010179538,3673
010179539,3373
010179540,7202
010179542,3678
010179543,4369
010179544,1455
010179545,4403
010179546,3592
010179547,4838
010199557,6804
010199558,4767
010199559,4055
010199560,3678
010199561,4684
010210601,4811
010210601,5525
010210602,2681
010210603,3162
010210604,5167
010210604,7530
010210605,3241
010210606,2984
010210607,4492
010239567,3883
010239568,5188
010239569,4219
010239570,2632
010259575,2013
010259576,7017
010259577,1534
010259578,6076
010259579,3491
010259579,4576
010259580,3160
010279589,5281
010279590,3374
010279591,3141
010279592,2458
010299595,2225
010299596,3881
010299597,3715
010299598,4302
010310101,1817
010310102,1816
010310103,3792
010310104,2343
010310105,4795
010310106,1508
010310107,2282
010310108,2221
010310109,2219
010310110,2853
010310111,1868
010310112,5556
010310112,6632
010310113,3913
010330201,3779
010330202,2060
010330203,2342
010330204,1491
010330205,4894
010330206,3815
010330207,5918
010330207,9019
010330208,4496
010330208,3986
010330209,8707
010330210,4477
010359602,1928
010359603,1967
010359604,3580
010359605,1689
010359606,4925
010379610,4613
010379611,4142
010379612,3447
010399616,3936
010399617,4380
010399618,2987
010399619,2198
010399620,4005
010399621,2024
010399623,3052
010399624,3235
010399625,1674
010399626,1444
010399627,1811
010399628,1676
010399629,1666
010399630,3543
010419634,1855
010419635,1954
010419636,3143
010419637,3434
010419638,1784
010419639,1495
010439641,5591
010439642,7274
010439643,4828
010439644,3843
010439645,4417
010439646,3556
010439647,4343
010439648,3981
010439649,6420
010439650,5822
010439651,3162
010439652,2023
010439653,4481
010439654,7290
010439655,5430
010439656,2254
010439657,2768
010450201,3847
010450202,2094
010450203,2517
010450204,2514
010450205,2031
010450207,3688
010450208,7732
010450209,4853
010450210,1238
010450211,3633
010450211,3895
010450212,2554
010450213,3693
010450214,4840
010479961,7367
010479962,4990
010479963,2948
010479964,3336
010479965,4046
010479966,3947
010479967,3506
010479968,2493
010479969,3157
010479970,1558
010479971,1629
010479972,2142
010479973,5246
010499601,5853
010499602,3504
010499603,6242
010499604,5510
010499605,5041
010499606,5836
010499607,6649
010499608,4116
010499609,3548
010499610,3905
010499611,3175
010499612,1852
010499613,5370
010499614,3851
010510301,6929
010510302,4343
010510303,2384
010510304,7169
010510305,4315
010510306,6656
010510307,8002
010510308,3983
010510309,9212
010510310,4368
010510311,3891
010510312,1870
010510313,2752
010539698,5848
010539699,4286
010539701,4516
010539702,1934
010539703,3665
010539704,5211
010539705,4851
010539706,4496
010539707,3633
010550002,3900
010550003,2883
010550004,3821
010550005,1867
010550006,2143
010550007,1388
010550008,1378
010550009,3223
010550010,1698
010550011,4315
010550012,3244
010550013,2411
010550014,1130
010550015,1828
010550016,4040
010550017,1727
010550101,2390
010550102,5872
010550103,2838
010550104,8213
010550105,6770
010550105,5128
010550106,8826
010550107,3796
010550108,3235
010550109,1475
010550110,8793
010550111,5127
010570200,1595
010570201,3884
010570202,4780
010570203,4433
010570204,3803
010599729,3804
010599730,4979
010599731,2434
010599732,3785
010599733,3185
010599734,2692
010599735,2492
010599736,1964
010599737,5888
010610501,5086
010610502,2443
010610503,5222
010610504,5651
010610505,4022
010610506,3340
010630600,1900
010630601,4951
010630602,3123
010650400,3546
010650401,1868
010650402,1656
010650403,2528
010650404,5792
010650405,1795
010670301,2037
010670302,3260
010670303,2962
010670304,1800
010670305,4772
010670306,1479
010690401,3488
010690402,6329
010690402,7111
010690403,7256
010690404,2495
010690405,3214
010690406,2740
010690407,2528
010690408,6207
010690409,3574
010690410,4971
010690411,3779
010690412,2657
010690414,2664
010690415,4241
010690416,4418
010690417,1517
010690418,2147
010690419,6361
010690420,4830
010690421,6260
010719501,6224
010719502,3851
010719503,6302
010719504,2430
010719505,3456
010719506,6278
010719507,4467
010719508,4017
010719509,5282
010719510,4604
010719511,7015
010730001,4744
010730003,3868
010730004,4289
010730005,4406
010730007,3063
010730008,5387
010730011,6175
010730012,3603
010730014,2915
010730015,3987
010730016,4485
010730019,2715
010730020,4465
010730021,3680
010730022,3236
010730023,3843
010730023,3254
010730023,3538
010730024,4306
010730027,3617
010730029,2962
010730030,4448
010730030,2793
010730031,4909
010730032,2088
010730033,1502
010730034,3146
010730035,3393
010730036,5306
010730037,5293
010730038,6081
010730038,5910
010730039,1969
010730040,5189
010730042,3532
010730045,3180
010730047,3736
010730047,3220
010730048,1892
010730049,4979
010730050,3598
010730051,2676
010730051,6623
010730052,4452
010730053,3621
010730055,2689
010730056,4597
010730057,2931
010730057,4149
010730058,3318
010730059,4860
010730059,5262
010730059,8320
010730059,2112
010730059,4241
010730100,5433
010730100,4988
010730101,2707
010730102,3128
010730103,2893
010730103,5082
010730104,4302
010730104,1806
010730105,2060
010730106,7072
010730106,2695
010730107,3040
010730107,4449
010730107,2243
010730107,4806
010730107,3285
010730107,4115
010730108,6088
010730108,3365
010730108,6367
010730108,2938
010730108,7590
010730109,5234
010730110,7507
010730111,11370
010730111,7451
010730111,8075
010730111,6847
010730112,2048
010730112,5699
010730112,4463
010730112,3789
010730112,3659
010730112,3555
010730113,8609
010730114,6272
010730115,5970
010730116,3731
010730117,6422
010730117,3682
010730117,7615
010730117,2491
010730118,7239
010730118,4568
010730118,2827
010730119,3518
010730119,2222
010730119,1115
010730120,4587
010730120,5300
010730121,4831
010730121,3305
010730122,4080
010730123,3864
010730123,9289
010730124,3791
010730124,3182
010730124,4061
010730125,5029
010730126,2691
010730127,3485
010730127,3938
010730128,7366
010730129,7475
010730129,8955
010730129,4284
010730129,6356
010730129,4141
010730129,4656
010730129,7489
010730130,2363
010730131,5489
010730132,2400
010730133,4118
010730134,4991
010730136,4385
010730138,2537
010730139,1757
010730139,2257
010730140,8622
010730141,5132
010730141,3732
010730141,3900
010730142,6541
010730142,7885
010730143,2840
010730143,1703
010730144,13248
010730144,4774
010730144,3857
010730144,5828
010730144,6550
010750300,5264
010750301,6143
010750302,4497
010770101,1840
010770102,1733
010770103,1706
010770104,2807
010770106,2697
010770107,1989
010770108,3810
010770109,6517
010770110,4549
010770111,8702
010770112,4090
010770113,2230
010770114,6172
010770115,5929
010770115,5533
010770116,10071
010770116,4812
010770117,4684
010770118,8095
010799791,1933
010799792,5266
010799793,4679
010799794,4278
010799795,6104
010799796,5216
010799797,2154
010799798,3238
010799799,1935
010810402,5245
010810403,2901
