fips	county	#phys	#pop	state
04027	yuma	10	2900	arizona
04021	pinal	5	1553	arizona
04013	maricopa	59	14881	arizona
04015	mohave	5	1206	arizona
04007	gila	16	13905	arizona
04023	santa cruz	11	2023	arizona
04003	cochise	49	23216	arizona
04005	coconino	11	3169	arizona
04019	pima	23	17862	arizona
04001	apache	4	522	arizona
04017	navajo	8	2055	arizona
04009	graham	14	9675	arizona
04025	yavapai	25	8881	arizona
08111	san juan	7	2300	colorado
08113	san miguel	9	2634	colorado
08011	bent	6	2568	colorado
08099	prowers	14	3704	colorado
08097	pitkin	9	2750	colorado
08047	gilpin	6	4464	colorado
08121	washington	2	800	colorado
08065	lake	13	14229	colorado
08031	denver	717	155639	colorado
08075	logan	12	3065	colorado
08055	huerfano	15	2102	colorado
08069	larimer	50	15913	colorado
08089	otero	37	13089	colorado
08115	sedgwick	5	411	colorado
08079	mineral	2	1250	colorado
08015	chaffee	16	4793	colorado
08039	elbert	5	561	colorado
08103	rio blanco	3	507	colorado
08009	baca	1	10	colorado
08033	dolores	2	831	colorado
08035	douglas	3	389	colorado
08063	kit carson	7	457	colorado
08095	phillips	4	751	colorado
08057	jackson	1	141	colorado
08059	jefferson	17	3406	colorado
08017	cheyenne	1	179	colorado
08051	gunnison	9	2657	colorado
08019	clear creek	10	6223	colorado
08013	boulder	74	17859	colorado
08037	eagle	5	575	colorado
08027	custer	3	265	colorado
08043	fremont	40	10347	colorado
08049	grand	5	606	colorado
08093	park	3	1016	colorado
08109	saguache	7	1239	colorado
08007	archuleta	3	367	colorado
08023	costilla	4	1128	colorado
08029	delta	30	1278	colorado
08021	conejos	13	2986	colorado
08005	arapahoe	11	1663	colorado
08077	mesa	43	14081	colorado
08091	ouray	10	3641	colorado
08119	teller	20	18055	colorado
08001	adams	3	1500	colorado
08101	pueblo	84	32362	colorado
08073	lincoln	6	420	colorado
08123	weld	68	6357	colorado
08067	la plata	17	3502	colorado
08083	montezuma	7	1291	colorado
08085	montrose	21	1467	colorado
08125	yuma	5	1750	colorado
08045	garfield	19	3731	colorado
08105	rio grande	11	2505	colorado
08041	el paso	154	38276	colorado
08061	kiowa	2	85	colorado
08117	summit	5	1266	colorado
08087	morgan	19	3700	colorado
08053	hinsdale	1	700	colorado
08071	las animas	35	9184	colorado
08107	routt	13	674	colorado
53055	san juan	7	682	washington
53065	stevens	25	5209	washington
53041	lewis	26	5350	washington
53049	pacific	11	1995	washington
53023	garfield	5	953	washington
53007	chelan	16	4615	washington
53045	mason	3	883	washington
53003	asotin	6	3625	washington
53061	snohomish	49	31226	washington
53025	grant	6	1400	washington
53017	douglas	5	1250	washington
53037	kittitas	18	10784	washington
53031	jefferson	13	3643	washington
53073	whatcom	50	28394	washington
53015	cowlitz	9	2851	washington
53013	columbia	9	2815	washington
53067	thurston	14	6726	washington
53077	yakima	48	4717	washington
53053	pierce	148	96002	washington
53059	skamania	1	350	washington
53047	okanogan	13	1778	washington
53035	kitsap	16	4821	washington
53009	clallam	9	2794	washington
53001	adams	10	3100	washington
53033	king	474	207471	washington
53043	lincoln	33	9550	washington
53063	spokane	223	41602	washington
53075	whitman	58	15277	washington
53071	walla walla	38	16689	washington
53039	klickitat	8	1397	washington
53005	benton	11	3100	washington
53021	franklin	4	2400	washington
53029	island	4	132	washington
53057	skagit	26	10640	washington
56001	albany	15	7238	wyoming
56033	sheridan	25	6096	wyoming
56037	sweetwater	13	7926	wyoming
56025	natrona	6	883	wyoming
56019	johnson	5	710	wyoming
56013	fremont	22	3026	wyoming
56009	converse	10	2080	wyoming
56029	park	9	1280	wyoming
56021	laramie	37	14675	wyoming
56045	weston	5	1246	wyoming
56011	crook	9	483	wyoming
56041	uinta	15	4590	wyoming
56007	carbon	14	6033	wyoming
49053	washington	3	1600	utah
49017	garfield	1	883	utah
49001	beaver	5	2450	utah
49023	juab	10	8493	utah
49027	millard	1	0	utah
49005	cache	12	9621	utah
49033	rich	2	750	utah
49019	grand	1	269	utah
49057	weber	38	18587	utah
49021	iron	2	1425	utah
49045	tooele	5	4009	utah
49041	sevier	10	4723	utah
49035	salt lake	188	68580	utah
49039	sanpete	11	10038	utah
49007	carbon	9	1993	utah
49049	utah	28	24904	utah
49051	wasatch	1	1534	utah
49031	piute	1	170	utah
49015	emery	2	809	utah
49043	summit	5	4798	utah
49029	morgan	3	900	utah
49011	davis	7	5546	utah
41021	gilliam	5	1235	oregon
41025	harney	3	750	oregon
41033	josephine	10	2290	oregon
41067	washington	21	3358	oregon
41037	lake	4	861	oregon
41057	tillamook	4	1037	oregon
41047	marion	55	18862	oregon
41027	hood river	11	2611	oregon
41053	polk	8	2786	oregon
41055	sherman	7	1335	oregon
41029	jackson	23	9772	oregon
41023	grant	6	1190	oregon
41061	union	24	6138	oregon
41071	yamhill	20	4425	oregon
41019	douglas	18	4846	oregon
41035	klamath	9	734	oregon
41065	wasco	17	4732	oregon
41011	coos	24	6700	oregon
41051	multnomah	337	170562	oregon
41069	wheeler	3	560	oregon
41009	columbia	7	2509	oregon
41005	clackamas	15	5007	oregon
41041	lincoln	4	1700	oregon
41043	linn	19	9040	oregon
41039	lane	39	5868	oregon
41063	wallowa	11	1509	oregon
41013	crook	6	1700	oregon
41001	baker	25	11756	oregon
41007	clatsop	14	10330	oregon
41003	benton	7	2661	oregon
41049	morrow	4	1523	oregon
41045	malheur	7	2000	oregon
41059	umatilla	28	11830	oregon
30057	madison	10	2512	montana
30001	beaverhead	8	2230	montana
