"State","State_Code","County_Name","County_Code","CountyID"
"AL",1,"Autauga",1,1
"AL",1,"Baldwin",3,2
"AL",1,"Barbour",5,3
"AL",1,"Bibb",7,4
"AL",1,"Blount",9,5
"AL",1,"Bullock",11,6
"AL",1,"Butler",13,7
"AL",1,"Calhoun",15,8
"AL",1,"Chambers",17,9
"AL",1,"Cherokee",19,10
"AL",1,"Chilton",21,11
"AL",1,"Choctaw",23,12
"AL",1,"Clarke",25,13
"AL",1,"Clay",27,14
"AL",1,"Cleburne",29,15
"AL",1,"Coffee",31,16
"AL",1,"Colbert",33,17
"AL",1,"Conecuh",35,18
"AL",1,"Coosa",37,19
"AL",1,"Covington",39,20
"AL",1,"Crenshaw",41,21
"AL",1,"Cullman",43,22
"AL",1,"Dale",45,23
"AL",1,"Dallas",47,24
"AL",1,"Dekalb",49,25
"AL",1,"Elmore",51,26
"AL",1,"Escambia",53,27
"AL",1,"Etowah",55,28
"AL",1,"Fayette",57,29
"AL",1,"Franklin",59,30
"AL",1,"Geneva",61,31
"AL",1,"Greene",63,32
"AL",1,"Hale",65,33
"AL",1,"Henry",67,34
"AL",1,"Houston",69,35
"AL",1,"Jackson",71,36
"AL",1,"Jefferson",73,37
"AL",1,"Lamar",75,38
"AL",1,"Lauderdale",77,39
"AL",1,"Lawrence",79,40
"AL",1,"Lee",81,41
"AL",1,"Limestone",83,42
"AL",1,"Lowndes",85,43
"AL",1,"Macon",87,44
"AL",1,"Madison",89,45
"AL",1,"Marengo",91,46
"AL",1,"Marion",93,47
"AL",1,"Marshall",95,48
"AL",1,"Mobile",97,49
"AL",1,"Monroe",99,50
"AL",1,"Montgomery",101,51
"AL",1,"Morgan",103,52
"AL",1,"Perry",105,53
"AL",1,"Pickens",107,54
"AL",1,"Pike",109,55
"AL",1,"Randolph",111,56
"AL",1,"Russell",113,57
"AL",1,"St. Clair",115,58
"AL",1,"Shelby",117,59
"AL",1,"Sumter",119,60
"AL",1,"Talladega",121,61
"AL",1,"Tallapoosa",123,62
"AL",1,"Tuscaloosa",125,63
"AL",1,"Walker",127,64
"AL",1,"Washington",129,65
