"Specialty_Code","Specialty_Name"
"A","Allergy"
"ACA","Adult Cardiothoracic Anesthesiology"
"ADL","Adolescent Medicine-Peds"
"ADM","Addiction Medicine"
"ADP","Addiction Psychiatry"
"AI","Allergy & Immunology"
"ALI","Allergy & Immun/diag Lab"
"AM","Aerospace Medicine"
"AMF","Adolescent Medicine (Family Practice)"
"AMI","Adolescent Medicine"
"AN","Anesthesiology"
"APM","Anesthesiology/pain Management"
"AR","Abdominal Radiology"
"AS","Abdominal Surgery"
"ATP","Anatomic Pathology"
"BBK","Blood Banking"
"CAP","Child Abuse Pediatrics"
"CBG","Clinical Biochemical Genetics"
"CCA","Critical Care - Anesthesiology"
"CCG","Clinical Cytogenetics"
"CCM","Critical Care Medicine"
"CCP","Critical Care - Pediatric"
"CCS","Critical Care Surgery"
"CD","Cardiovascular Disease"
"CFS","Craniofacial Surgery"
"CG","Clinical Genetics"
"CHN","Child Neurology"
"CHP","Child Psychiatry"
"CHS","Congenital Cardiac Surgery (Thoracic Surgery)"
"CLP","Clinical Pathology"
"CMG","Clinical Molecular Genetics"
"CN","Clinical Neurophysiology"
"CPP","Pediatrics/Psych/Child and Adol Psych"
"CRS","Colon & Rectal Surgery"
"CS","Cosmetic Surgery"
"CTR","Cardiothoracic Radiology"
"D","Dermatology"
"DBP","Developmental - Behavioral Pediatrics"
"DDL","Dermatology Immun/diag Lab"
"DIA","Diabetes"
"DMP","Dermatopathology"
"DR","Diagnostic Radiology"
"DS","Dermatologic Surgery"
"EFM","Emergency Medicine/Family Medicine"
"EM","Emergency Medicine"
"EMP","Pediatrics - Emergency Medicine"
"END","Endocrinology"
"EP","Epidemiology"
"ES ","Endovascular Surgical Neuroradiology (Neuro Surg)"
"ESM","Emergency/sports Medicine"
"ESN","Endovascular Surgical Neuroradiology"
"ETX","Emergency Medical Toxicology"
"FLX","Flex Residents"
"FOP","Forensic Pathology"
"FP","Family Practice"
"FPG","Family Practice/geriatric Med"
"FPP","Psychiatry - Family Practice"
"FPS","Facial Plastic Surgery"
"FSM","Family Prac/sports Medicine"
"GE","Gastroenterology"
"GO","Gynecological Oncology"
"GP","General Practice"
"GPM","General Preventive Medicine"
"GS","General Surgery"
"GYN","Gynecology"
"HEM","Hematology"
"HEP","Hepatology"
"HMP","Hematology/pathology"
"HNS","Head & Neck Surgery"
"HO","Hematology/oncology"
"HOS","Hospitalist"
"HPA","Hospice & Palliative Medicine (Anesthesiology)"
"HPD","Hospice & Palliative Medicine (Radiology)"
"HPE","Hospice & Palliative Medicine (Emergency Medicine)"
"HPF","Hospice & Palliative Medicine (Family Medicine)"
"HPI","Hospice & Palliative Medicine (Internal Medicine)"
"HPM","Hospice & Palliative Medicine "
"HPN","Hospice & Palliative Medicine (Psych & Neurology)"
"HPO","Hospice & Palliative Med (Obstetrics & Gynecology)"
"HPP","Hospice & Palliative Medicine (Pediatrics)"
"HPR","Hospice & Palliative Med (Physical Med & Rehab)"
"HS","Hand Surgery"
"HSO","Hand Surgery/orthopedic Surg"
"HSP","Hand Surgery (Plastic Surgery)"
"HSS","Hand Surgery (Surgery)"
"IC","Interventional Cardiology"
"ICE","Im - Cardiac Electrophysiology"
"ID","Infectious Diseases"
"IEC","IM/Emergency Medicine/Critical Care Medicine"
"IFP","Internal Medicine - Family Practice"
"IG","Immunology"
"ILI","Im - Diagnostic Lab Immunology"
